text,target
"athanu athu matramanu..., udane mattam varunnund.",Positive
sathyiamparyumbovayamoodiketunnu,Neutral
Athanu ivdethee oruu rithiii so poo mone dinesha itu plce veere 🔥,Negative
Appo kaannunavane appa ennu villikan pc ye kayinjitte ollu..Dont trust this bitch,Negative
Pattikka jathiyum hinduvum Vere vere anooo Eyaaal pattika jyathiyeyum Moshakkaaar akkaanallooo,Neutral
Poda naayinde mone...,Negative
NepopullakajarivalenakandupadikeSarnumpranamam,Negative
Eyalenthina hinduvina pokkipRayunna ellavaraum orupolayolla ragiyathu egana ano samsarikkunna,Neutral
Samayathinu anusarich kolam maraavunna oru naaaari,Negative
"George sir, ningal thottitila, avar aanu thottathu because thoppichaval alle thokkuka",Positive
E naaritharam okke stagil kayari paranjitte uluppillathe kettirikkunnavarode enthe parayan,Negative
Very currect.... Pushpam theeyidaruth😃,Neutral
Jagathy ude mol Parvathy ye Mon shon Jorge n vendi mamodeesamukki Christan aaki ya PC yaan best candidate,Neutral
Thaniku nanam ondo,Negative
Parashu Raman Erinn  kofali ninte kayuthil Erinn keralam rashapedum,Negative
pc George sir parayunathu full points anu powerful ....... enni ankillum namalu ottakettayinilku alkill kai vittu pokum ...please .........,Positive
Wera aaraum keteela e polayadiyallatha Shogam,Negative
Hindhukkalkk.naanamaavunnu.,Neutral
P.c.porke.vaya.adakada,Negative
Adutha stagil oru kindiyil vellam karuthuka🙄🙄venel ozhichu kodukkam🙄🙄..,Neutral
Panni,Negative
Iyale polu oru naaride speech kettu kay adikkunna vivaramillathavru,Negative
Idheham paranhadhil endhan kallam Sathyam paranjaal hindu sakhakalk polum manassil akkkan pattunilllo,Positive
"Puthapallil pokunna samayath ulla vellam kudi thott , viraku edupp, thali kett, mandhrakodi , Kodi maram ezhunallath thudangiya ethra ethra common traditions , kerathile oru parambarya christyaniyum culturally fully hindu aanu",Neutral
Comontra PC,Positive
"So ethreyum years E pullikaran MLA sthanaththu Erikkan karanam ah paranja 97% Muslims aanu, ennulladhu pullide naavu kondu thenne purathu vannu😁. Appol ah samuhathode Pullikaran marikkunna vare nanni parayalle vendadhu😅 ….. Sabarimala issue thudangi vechadhu pinaraye aano sir😜 Adhu central Govt inde Kaliyil pettu poyadhalle😉 Supreme Court order Nadappilakandi vannadhalle….. ennitto 2n time keralam vijayaichille😊. Tippu sulthan vargiya vaadhiyanengil … palakkad Tippu fort vannu Kandal manasilavum…. Sondham sippaye nu vendi Hunumaan vigraham vechu thozhan permission kodutha vekthiyanu Tippu sultan. Eni Erattu pettayil ninnu samayam pazhakkanda, kooduthal Sangikal ulla sthalam keralathil kandethuka ennittu avade ninnu vijaikkuka😜",Neutral
Postive ittavar assal vargeeyavadhikalanennum manassilayi,Neutral
Onnu podo oole,Negative
kayuthapalkudichavan jeevithakalam muzhuvan kyutha,Negative
